"_created_at"	_id	_updated_at	device	profile	state
2017-08-16T16:32:23.354Z	GSGVXON2OK	2017-08-18T20:17:51.039Z	abc123	collaboration	experiment
2017-10-14T17:13:54.258Z	b9l2Ravh3G	2017-10-14T17:13:54.258Z	8fc0dd3c39457dc0	competition	
2017-10-16T16:04:12.310Z	XoLcSanlql	2017-10-16T16:04:12.310Z	43719b7c983f3578	collaboration	
2017-10-16T21:54:24.962Z	KFy9i5LFjV	2017-10-16T21:54:24.962Z	83096d9071a83343	competition	
2017-10-17T16:21:28.595Z	URyUEf19Ef	2017-10-17T16:21:28.595Z	4c1d030102d077ac	collaboration	
2017-10-17T16:24:58.997Z	ZH5ncu9ugI	2017-10-17T16:24:58.997Z	9735960789aa8b49	competition	
2017-10-17T16:25:10.495Z	6oASZDaVK1	2017-10-17T16:25:10.495Z	9bd7057da8c1aa18	collaboration	
2017-10-17T16:25:20.947Z	tN93N1PtZv	2017-10-17T16:25:20.947Z	9382ae64e5f2f476	competition	
2017-10-17T16:25:24.104Z	pF40tx69Gl	2017-10-17T16:25:24.104Z	6ea03f35e5e663d0	collaboration	
2017-10-17T16:25:43.501Z	pUvyueymIK	2017-10-17T16:25:43.501Z	fe31b241908b812f	competition	
2017-10-17T16:25:43.629Z	cgsJfxMT5x	2017-10-17T16:25:43.629Z	7d8de3d27560d8e8	competition	
2017-10-17T16:26:30.028Z	T72zY9c82N	2017-10-17T16:26:30.028Z	9a67ffb6ea7cf8bc	collaboration	
2017-10-17T16:26:42.421Z	i3BsgnN0gC	2017-10-17T16:26:42.421Z	dcbd9453157165d7	competition	
2017-10-17T16:26:49.754Z	Z5Nc6yOSEM	2017-10-17T16:26:49.754Z	cbbf4071656e393e	collaboration	
2017-10-17T16:31:49.972Z	NHOpp4TNtd	2017-10-17T16:31:49.972Z	f54b9fd91a363129	competition	
2017-10-17T16:35:38.339Z	DfvNzUkQLm	2017-10-17T16:35:38.339Z	36ab149a7ffc1ab7	collaboration	
2017-10-18T09:04:12.187Z	DWtAUpYY4W	2017-10-18T09:04:12.187Z	756256df825745c	competition	
2017-10-18T09:08:29.187Z	MQCawkzDej	2017-10-18T09:08:29.187Z	14a96735022e788e	collaboration	
2017-10-18T17:21:40.227Z	kh8GrARW2F	2017-10-18T17:21:40.227Z	e9d8d40f54eb35e6	competition	
2017-10-19T07:07:34.919Z	x17Gxo2jCo	2017-10-19T07:07:34.919Z	11adcf0f63a00175	collaboration	
2017-10-19T07:23:56.530Z	609vON4ZkW	2017-10-19T07:23:56.530Z	eebc72933a714498	competition	
2017-10-19T08:03:46.561Z	cGxKLHHa0e	2017-10-19T08:03:46.561Z	6fe948e0c51ae2e3	collaboration	
2017-10-19T10:14:44.814Z	wHfqCodckh	2017-10-19T10:14:44.814Z	948c5a19e0e77b8f	competition	
2017-10-19T12:36:13.672Z	p2pWaJqWJv	2017-10-19T12:36:13.672Z	6f7c7445c866c14a	collaboration	
2017-10-19T15:36:54.534Z	vpPcEFN34a	2017-10-19T15:36:54.534Z	c1c0f391b310b51d	competition	
2017-10-20T08:13:07.759Z	n7PjJyYnVq	2017-10-20T08:13:07.759Z	9ed54873f6108cd1	collaboration	
2017-10-20T15:30:50.715Z	yWM8VIhpGy	2017-10-20T15:30:50.715Z	ec76a95722e80e30	competition	
2017-10-20T15:31:04.577Z	FoaZ1DBBet	2017-10-20T15:31:04.577Z	1c64e79ce9eea54d	collaboration	
2017-10-22T10:11:46.100Z	GHXw45j9Lj	2017-10-22T10:11:46.100Z	5136c4b85caa28f3	competition	
2017-10-23T14:57:53.397Z	ynfcLsGO1H	2017-10-23T14:57:53.397Z	5d9df6772562af5e	collaboration	
2017-10-25T13:13:56.105Z	ZxiRNYLmqC	2017-10-25T13:13:56.105Z	b265733ea53b6e07	competition	
2017-10-26T14:00:04.656Z	gDrmhzhkSD	2017-10-26T14:00:04.656Z	9a83167b352fa914	collaboration	
2017-10-26T14:36:45.278Z	ESBe7g7iSs	2017-10-26T14:36:45.278Z	f3d5cdaad6acb5dc	competition	
2017-10-26T15:34:06.423Z	E2VbJLTR7J	2017-10-26T15:34:06.423Z	75df4d7f5d07f886	collaboration	
2017-10-27T18:23:02.759Z	FzLZiGzpzE	2017-10-27T18:23:02.759Z	f0304bf6db9bacfb	competition	
2017-10-27T18:40:08.141Z	pHOeDoncWA	2017-10-27T18:40:08.141Z	c7aeb36dcbf38252	collaboration	
2017-10-28T13:35:29.435Z	UwlYqn9byb	2017-10-28T13:35:29.435Z	9638e7128d1d8ce1	competition	
2017-10-28T17:01:51.645Z	r1e1kjfrtD	2017-10-28T17:01:51.645Z	5ed0527e1fa659da	collaboration	
2017-10-29T12:16:42.643Z	BqIcx3QSWv	2017-10-29T12:16:42.643Z	b9fb432cd25e49d5	competition	
2017-11-02T06:32:15.747Z	qOtLoATXaX	2017-11-02T06:32:15.747Z	73a4810b48ed40ce	collaboration	
2017-11-09T11:44:43.823Z	bgOS4dBfXz	2017-11-09T11:44:43.823Z	ff64f36fe20f131	competition	
2017-11-09T11:50:47.903Z	MVlArAXg5g	2017-11-09T11:50:47.903Z	c04a9ce450d85367	collaboration	
2017-11-09T11:51:54.452Z	Af6qdPQydY	2017-11-09T11:51:54.452Z	2dd51dad67db44fe	competition	
2017-11-09T17:06:15.900Z	juXM3Xv9x4	2017-11-09T17:06:15.900Z	b815df034e2f361c	collaboration	
2017-11-09T17:07:46.554Z	4rW8VCOjV1	2017-11-09T17:07:46.554Z	89549cb520eb71df	competition	
2017-11-09T17:08:15.697Z	U4EZOYnZfl	2017-11-09T17:08:15.697Z	526fd636a4b5e87b	collaboration	
2017-11-09T17:09:35.853Z	JX6MRcrGtO	2017-11-09T17:09:35.853Z	ea930b0c9eb0edc0	competition	
2017-11-09T17:24:19.092Z	GzsRlbTVEn	2017-11-09T17:24:19.092Z	be492f9e5222543e	collaboration	
2017-11-09T17:29:27.856Z	nASJjl6fTQ	2017-11-09T17:29:27.856Z	1fce815e794a07c8	competition	
2017-11-09T18:07:56.457Z	ANxLPavGt5	2017-11-09T18:07:56.457Z	3d52ad6645625475	collaboration	
2017-11-10T10:58:24.392Z	AAaxm7BTDm	2017-11-10T10:58:24.392Z	8cb3b5184219991f	competition	
2017-11-10T13:24:02.688Z	IaV9rE0J2Q	2017-11-10T13:24:02.688Z	77d5ef0502ed6625	collaboration	
2017-11-10T14:00:09.242Z	RFcYWI0u5D	2017-11-10T14:00:09.242Z	5d6f5f62dda6cfde	competition	
2017-11-10T14:13:40.692Z	gAkvM99MUR	2017-11-10T14:13:40.692Z	f10bdbbea0e46dd0	collaboration	
2017-11-12T02:33:00.207Z	qoOzXp6ASw	2017-11-12T02:33:00.207Z	a5c4160dece6f7ce	competition	
2017-11-12T20:51:19.247Z	8wZDx2rmpe	2017-11-12T20:51:19.247Z	bbf105c7a37ee303	collaboration	
2017-11-15T12:22:06.029Z	kzDdVEEQ4X	2017-11-15T12:22:06.029Z	fd1f1dc85e0d1b8b	competition	
2017-11-18T16:02:07.737Z	ytsX2EC7Or	2017-11-18T16:02:07.737Z	b6cbbd64503e2ffa	collaboration	
2017-11-19T16:21:25.277Z	20Yuu0Mqxr	2017-11-19T16:21:25.277Z	37132b759d08a2c5	competition	
2017-12-10T07:20:58.589Z	dHYIBanmq4	2017-12-10T07:20:58.589Z	aad6e9f3bf2a7936	collaboration	
2018-01-02T08:50:57.458Z	dJzb6Ud1Sb	2018-01-02T08:50:57.458Z	af2a30e71d77863f	competition	
2018-01-13T18:51:27.758Z	0RBz7a4ZId	2018-01-13T18:51:27.758Z	e618d7fd2f413bcf	collaboration	
2018-02-18T03:21:34.960Z	ReQM1PVF68	2018-02-18T03:21:34.960Z	c416601364d12aa9	competition	
2018-02-24T20:46:41.671Z	rHgL4Ahnoc	2018-02-24T20:46:41.671Z	bc835aa17cd8ce56	collaboration	
2018-02-25T05:21:34.710Z	HjjZTQ7jnq	2018-02-25T05:21:34.710Z	ee04bd67e1cb2ca	competition	
2018-03-26T03:53:06.806Z	M1xvEncu4C	2018-03-26T03:53:06.806Z	b932cd28f8ad3315	collaboration	
